日期,身份別,多方交易口數,多方交易契約金額(百萬元),空方交易口數,空方交易契約金額(百萬元),多空交易口數淨額,多空交易契約金額淨額(百萬元),多方未平倉口數,多方未平倉契約金額(百萬元),空方未平倉口數,空方未平倉契約金額(百萬元),多空未平倉口數淨額,多空未平倉契約金額淨額(百萬元)
"2018/5/10",投信,1517,1325,1142,1159,375,166,5433,5495,31897,59163,-26464,-53668
"2018/5/10",外資及陸資,174117,131414,181783,133889,-7666,-2475,284290,143321,244599,69201,39691,74120
"2018/5/11",自營商,320157,56664,289128,61870,31029,-5206,320882,37076,343719,45377,-22837,-8301
"2018/5/11",投信,3803,7059,3540,6523,263,536,5459,5597,31660,59230,-26201,-53632
"2018/5/11",外資及陸資,203279,171468,183554,151866,19725,19602,297289,159569,238005,65119,59284,94450
"2018/5/14",自營商,387338,62791,392027,58263,-4689,4528,338044,40044,365022,43948,-26978,-3904
"2018/5/14",投信,17862,35326,17880,35147,-18,179,5371,5633,31590,59588,-26219,-53955
"2018/5/14",外資及陸資,245740,195149,238736,196400,7004,-1251,310755,166485,244467,72378,66288,94107
"2018/5/15",自營商,402583,71561,422333,73867,-19750,-2306,346947,36698,393827,42787,-46880,-6089
"2018/5/15",投信,12862,21118,13294,21879,-432,-761,5133,5416,31812,59681,-26679,-54265
"2018/5/15",外資及陸資,237589,213540,237388,217674,201,-4134,319885,169588,253233,80349,66652,89239
"2018/5/16",自營商,520214,83558,509919,84237,10295,-679,174615,20265,196298,31720,-21683,-11455
"2018/5/16",投信,1319,1434,1352,1274,-33,160,5230,5404,31424,59431,-26194,-54027
"2018/5/16",外資及陸資,267027,165681,279993,160873,-12966,4808,230427,151775,155420,54552,75007,97223
